parent_product_id	product_id	min_guest_num	max_guest_num	upgrade	departure
	253	1	1	[{"product_option_id":"30006","product_option_value_id":"30030","pod_name":"主题公园 1","povd_name":"&#29615;&#29699;&#24433;&#22478;"},{"product_option_id":"30006","product_option_value_id":"30031","pod_name":"主题公园 1","povd_name":"&#20882;&#38570;&#27138;&#22290;"},{"product_option_id":"30006","product_option_value_id":"30032","pod_name":"主题公园 1","povd_name":"&#29976;&#20035;&#36842;&#22826;&#31354;&#20013;&#24515;"},{"product_option_id":"30006","product_option_value_id":"30033","pod_name":"主题公园 1","povd_name":"&#28023;&#27915;&#19990;&#30028;"}]	[{"time":"11:00am","region":"Downtown Los Angeles","address":"Radisson Crowne Plaza","full_address":"3540 S. Figueroa Street"},{"time":"11:05am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Brentwood Inn","full_address":"12200 W.Sunset Blvd."},{"time":"11:10am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Angelino Hotel","full_address":"170 N. Church Lane"},{"time":"11:15am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Claremont Hotel","full_address":"1044 Tiverton Ave."},{"time":"11:20am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Del Capri Hotel","full_address":"10587 Wilshire Blvd."},{"time":"11:25am","region":"Downtown Los Angeles","address":"Hilton Checkers Hotel","full_address":"535 S. GRAND AVE."},{"time":"11:30am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Beverly Hills Plaza","full_address":"10300 Wilshire Blvd."},{"time":"11:35am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Avalon Hotel","full_address":"9400 W. Olympic Blvd."},{"time":"11:40am","region":"Mid Wilshire \/ East Hollywood","address":"Ramada Hollywood","full_address":"1160 N. Vermont Ave."},{"time":"11:45am","region":"Mid Wilshire \/ East Hollywood","address":"American Best Value","full_address":"5265 W. Sunset Blvd"},{"time":"11:50am","region":"Mid Wilshire \/ East Hollywood","address":"Best Inn","full_address":"1822 N. Cahuenga Blvd."},{"time":"12:30pm","region":"West Hollywood \/ Hollywood","address":"GRAUMANS CHINESE THEATRE","full_address":"6925 HOLLYWOOD BLVD"},{"time":"7:15am","region":"Downtown Los Angeles","address":"Crown Plaza Commerce","full_address":"6121 E Telegraph Rd."},{"time":"7:30am","region":"Pasadena \/ Glendale \/ Burbank","address":"Holiday Inn Express Pasadena","full_address":"3500 East Colorado Blvd"},{"time":"7:45am","region":"Pasadena \/ Glendale \/ Burbank","address":"Vagabond Pasadena","full_address":"1203 E. Colorado Blvd"},{"time":"7:50am","region":"Pasadena \/ Glendale \/ Burbank","address":"Courtyard Marriott Pasadena","full_address":"180 N. Fairoaks Ave."},{"time":"8:00am","region":"Downtown Los Angeles","address":"Radisson Crowne Plaza","full_address":"3540 S. Figueroa Street"},{"time":"8:05am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Brentwood Inn","full_address":"12200 W.Sunset Blvd."},{"time":"8:10am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Angelino Hotel","full_address":"170 N. Church Lane"},{"time":"8:15am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Claremont Hotel","full_address":"1044 Tiverton Ave."},{"time":"8:20am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Del Capri Hotel","full_address":"10587 Wilshire Blvd."},{"time":"8:25am","region":"Downtown Los Angeles","address":"Hilton Checkers Hotel","full_address":"535 S. Grand"},{"time":"8:30am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Beverly Hills Plaza","full_address":"10300 Wilshire Blvd."},{"time":"8:35am","region":"Beverly Hills \/ Brentwood \/ Bel Air","address":"Avalon Hotel","full_address":"9400 W. Olympic Blvd."},{"time":"8:40am","region":"Mid Wilshire \/ East Hollywood","address":"Ramada Hollywood","full_address":"1160 N. Vermont Ave."},{"time":"8:45am","region":"Mid Wilshire \/ East Hollywood","address":"American Best Value Inn","full_address":"5265 W. Sunset Blvd"},{"time":"8:50am","region":"Mid Wilshire \/ East Hollywood","address":"Best Western","full_address":"6141 Franklin Ave."},{"time":"9:00am","region":"West Hollywood \/ Hollywood","address":"GRAUMANS CHINESE THEATRE","full_address":"6925 HOLLYWOOD BLVD"}]
	121	1	4	[]	[{"time":"06:30am","region":"Los Angeles","address":"Days Inn Fountain Valley","full_address":"9125 Recreation Circle, Fountain Valley, CA 92708"},{"time":"06:30am","region":"Los Angeles","address":"Double Tree Norwalk（仅限酒店住宿客人）","full_address":"13111 Sycamore Dr, Norwalk, CA 90650"},{"time":"06:30am","region":"Los Angeles","address":"Radisson Hotel Whittier（仅限酒店住宿客人） ","full_address":"7320 Greenleaf Ave. Whittier, CA 90602"},{"time":"06:30am","region":"Las Vegas","address":"Circus Circus Skyrise Tower 2nd Floor Information","full_address":"2880 S. LAS VEGAS BLVD, LAS VEGAS, NV 89109"},{"time":"06:30am","region":"Los Angeles","address":"Pacific Palm Resort（仅限酒店住宿客人）","full_address":"1 Industry Hills Pkwy, La Puente, CA"},{"time":"06:30am","region":"Los Angeles","address":"喜瑞都市99大华超市 (99 Ranch Market Cerritos)","full_address":"17713 Pioneer Blvd, Artesia, CA 90701"},{"time":"06:30am","region":"Los Angeles","address":"99大华超市 (99 Ranch Market)","full_address":"15333 Culvor Dr, #800, Irvine, CA 92604"},{"time":"06:30am","region":"Los Angeles","address":"希尔顿酒店 (Hilton Hotel)(仅限酒店住宿客人)","full_address":"225 W. Valley Blvd., San Gabriel, CA 91776"},{"time":"06:30am","region":"Los Angeles","address":"骑士酒店 (Knight Inn Rosemead)","full_address":"3633 N. Rosemead Blvd., Rosemead, CA 91770"},{"time":"06:30am","region":"Los Angeles","address":"假日酒店 (Holiday Inn La Mirada)（仅限酒店住宿客人）","full_address":"14299 Firestone Blvd, La Mirada, CA 90638"},{"time":"06:30am","region":"Los Angeles","address":"富勒顿皇冠假日酒店(The Hotel Fullerton)(仅限酒店住宿客人)","full_address":"1500 S. Raymond Ave. Fullerton CA 92831"},{"time":"06:30am","region":"Los Angeles","address":"华泰饭店 (Comfort Suites Roesemead)","full_address":"9488 Valley Blvd., Rosemead, CA 91170"},{"time":"06:30am","region":"Los Angeles","address":"中国城老年公寓 (Chinatown Senior Citizen Center)","full_address":"600 N Broadway, Los Angeles, CA 90012"},{"time":"06:30am","region":"Los Angeles","address":"阿凯迪亚99大华(99 Ranch Market)","full_address":"1300 S Golden West Ave, Arcadia, CA 91007"},{"time":"06:30am","region":"Los Angeles","address":"豪生酒店 (Howard Johnson Hotel Fullerton)","full_address":"222 W Houston Ave, Fullerton, CA 92832"},{"time":"06:30am","region":"Las Vegas","address":"拉斯维加斯机场Las Vegas McCarran International Airport","full_address":"5757 Wayne Newton Blvd, Las Vegas, NV 89109"},{"time":"09:00am","region":"Los Angeles","address":"Best Western Executive, Rowland Heights","full_address":"18880 E. Gale Ave., Rowland Heights, CA 91748"},{"time":"12:00pm - 02:00pm","region":"Las Vegas","address":"Las Vegas Buffet ","full_address":"4300 E. 4300 E. Sunset Rd., C-1, Henderson, NV 89014"}]
222	4086	3	1	[]	[{"time":"7:15","region":"","address":"Location","full_address":"Full Address"}]
	203	1	4	[]	[{"time":"3:30pm","region":"Las Vegas","address":"Excalibur Hotel Group Check-in Counter(团队登记柜台)","full_address":"3850 Las Vegas Blvd, South, Las Vegas, NV 89109"}]
274	
650	650	1	1	[]	[{"time":"","region":"","address":"","full_address":""},{"time":"6:50am","region":"New York","address":"法拉盛汇丰银行门口","full_address":"39-10 main st Flushing NY 11354"},{"time":"6:50am","region":"Brooklyn","address":"Eye Solutions(只接不送)","full_address":"6002 8th Ave, Brooklyn NY 11220"},{"time":"8:00am","region":"New York","address":"唐人街 (Chinatown)","full_address":"48 Bowery St, New York, N.Y. 10013"},{"time":"9:00am ","region":"New Jersey","address":"Coco Asian Cuisine(椰子林餐厅)(仅限周一和周三出发)(只接不送)","full_address":"1803 Lincoln Highway, Edison 08817"},{"time":"9:00am","region":"New Jersey","address":"仅限周五出发(只接不送)","full_address":"792 Us 46, Parsippany, NJ 07054"}]
	654	1	4	[]	[{"time":"10:45am","region":"Philiadelphia","address":"Constitution Center parking lot(只接不送)","full_address":"525 Arch Street, Philadelphia, PA 19106"},{"time":"6:50am","region":"New York","address":"法拉盛汇丰银行门口","full_address":"39-10 main st Flushing NY 11354"},{"time":"6:50am","region":"Brooklyn","address":"艺视眼镜店门口(只接不送)","full_address":"6002 8th Ave, Brooklyn, NY 11220 "},{"time":"8:00am","region":"New York","address":"中国城 (Chinatown, Manhattan)","full_address":"48 Bowery St, New York, N.Y. 10013"},{"time":"9:00am","region":"New Jersey","address":"Coco Asian Cuisine(椰子林餐厅)","full_address":"1803 Lincoln Highway, Edison 08817"}]
	685	1	4	[]	[]
	123	1	4	[{"product_option_id":"43","product_option_value_id":"203","pod_name":"主题公园","povd_name":"迪士尼乐园"},{"product_option_id":"43","product_option_value_id":"204","pod_name":"主题公园","povd_name":"加州冒险乐园(无导游陪同进园)"},{"product_option_id":"30002","product_option_value_id":"30113","pod_name":"洛杉矶酒店升级","povd_name":"Best Western Executive,Rowland Heights(罗兰岗最佳西方集团酒店)-Freeway Side(靠近Freeway,相对会有噪音产生)"},{"product_option_id":"30002","product_option_value_id":"30115","pod_name":"洛杉矶酒店升级","povd_name":"Hilton Hotel San Gabriel(圣盖博希尔顿酒店)"},{"product_option_id":"30002","product_option_value_id":"30134","pod_name":"洛杉矶酒店升级","povd_name":"Comfort Suites,Rosemead(柔似蜜华泰饭店)"},{"product_option_id":"30004","product_option_value_id":"30078","pod_name":"机场接机","povd_name":"&#22914;&#20154;&#25968;&#26356;&#22810;&#21017;&#38656;&#35201;&#25253;&#20215;"},{"product_option_id":"30004","product_option_value_id":"30094","pod_name":"机场接机","povd_name":"8:30am-10:30pm 免费"},{"product_option_id":"30004","product_option_value_id":"30096","pod_name":"机场接机","povd_name":"1 个人 10:31pm-8:29am"},{"product_option_id":"30004","product_option_value_id":"30097","pod_name":"机场接机","povd_name":"2 个人 10:31pm-8:29am"},{"product_option_id":"30004","product_option_value_id":"30098","pod_name":"机场接机","povd_name":"3 个人 10:31pm-8:29am"},{"product_option_id":"30004","product_option_value_id":"30099","pod_name":"机场接机","povd_name":"4 个人 10:31pm-8:29am"},{"product_option_id":"30004","product_option_value_id":"30100","pod_name":"机场接机","povd_name":"5 个人 10:31pm-8:29am"},{"product_option_id":"30004","product_option_value_id":"30101","pod_name":"机场接机","povd_name":"6 个人 10:31pm-8:29am"},{"product_option_id":"30004","product_option_value_id":"30102","pod_name":"机场接机","povd_name":"7 个人 10:31pm-8:29am"}]	[]
667	374	4	1	[]	[]
	103	1	1	[{"product_option_id":"43","product_option_value_id":"204","pod_name":"主题公园","povd_name":"加州冒险乐园(无导游陪同进园)"},{"product_option_id":"43","product_option_value_id":"524","pod_name":"主题公园","povd_name":"环球影城"}]	[]
	374	4	1	[]	[]
	103	1	1	[{"product_option_id":"43","product_option_value_id":"204","pod_name":"主题公园","povd_name":"加州冒险乐园(无导游陪同进园)"},{"product_option_id":"43","product_option_value_id":"524","pod_name":"主题公园","povd_name":"环球影城"}]	[]
2313	4084	1	1	[{"product_option_id":"1328342846","product_option_value_id":"32618","pod_name":"领票服务","povd_name":"自行前往途风网美国总部洛杉矶办公室取票(工作时间9:00am-5:00pm)"},{"product_option_id":"1328342846","product_option_value_id":"32619","pod_name":"领票服务","povd_name":"挂号邮递(仅限美国地址)"}]	[]
	4087	1	4	[{"product_option_id":"1328342846","product_option_value_id":"32618","pod_name":"领票服务","povd_name":"自行前往途风网美国总部洛杉矶办公室取票(工作时间9:00am-5:00pm)"},{"product_option_id":"1328342846","product_option_value_id":"32619","pod_name":"领票服务","povd_name":"挂号邮递(仅限美国地址)"},{"product_option_id":"1328342846","product_option_value_id":"32620","pod_name":"领票服务","povd_name":"电子票(以Email形式将门票电子版发送给您,打印后可直接使用,无需换票)"},{"product_option_id":"1328342846","product_option_value_id":"64466","pod_name":"领票服务","povd_name":"快递邮寄(仅限中国大陆地址，邮费到付)"},{"product_option_id":"1328344380","product_option_value_id":"39449","pod_name":"aa1211","povd_name":"ff"},{"product_option_id":"1328344380","product_option_value_id":"39450","pod_name":"aa1211","povd_name":"tt"}]	[]
	4084	1	1	[{"product_option_id":"1328342846","product_option_value_id":"32618","pod_name":"领票服务","povd_name":"自行前往途风网美国总部洛杉矶办公室取票(工作时间9:00am-5:00pm)"},{"product_option_id":"1328342846","product_option_value_id":"32619","pod_name":"领票服务","povd_name":"挂号邮递(仅限美国地址)"}]	[]
